"dependent.var.value","independent.var.value","repeat.var.value","pev_score_2_cat","edu_score_2_cat","nut_score_2_cat","health_score_2_cat","snfi_score_2_cat","wash_score_2_cat","fsl_score_2_cat","prot_score_2_cat","mcsi_score_2_cat","impact_score_2_cat","msni_2_cat","admin2Name"
"in_need","IDP","SO1601",0.554455445544555,0.0792079207920792,0.257425742574257,0.0099009900990099,0.415841584158416,0.673267326732673,0.356435643564356,0,0.0198019801980198,0.0099009900990099,0.722772277227723,"Bossaso"
"in_need","IDP","SO1701",0.727922550094175,0.167067364030096,0.614963018455661,0.113760926365373,0.376286141054695,0.525851824105503,0.490047067420068,0,0.0350033619585763,0.00875084048964406,0.69211779340874,"Garoowe"
"in_need","IDP","SO1702",0.537162459121418,0.146956638346533,0.5,0.0185812295607088,0.167231066046379,0.31588090253205,0.222974754728506,0,0.0371624591214176,0,0.427368279896303,"Burtinle"
"in_need","IDP","SO1801",0.531449836550884,0.0309841338829591,0.177717819400993,0.0171529148126843,0.174393263333308,0.255060898649129,0.25048907986804,0.00818984422203747,0.0782188959499594,0.0154920669414796,0.438154461044938,"Gaalkacyo"
"in_need","IDP","SO1802",0.857962154294032,0.119097525473071,0.522270742358079,0.0229403202328967,0.546550218340611,0.0974963609898108,0.183522561863173,0,0,0,0.20646288209607,"Galdogob"
"in_need","IDP","SO1803",0.370345865656582,0,0.105992689018641,0,0.343847693401922,0.198736291909953,0.422713664257241,0,0.0309145342971037,0.18485865987396,0.572869973700316,"Hobyo"
"in_need","IDP","SO1901",0.27249377543432,0.117991069973364,0.352669222938392,0.00260797396339942,0.235982139946728,0.114079109028265,0.119295056955064,0,0,0,0.234678152965028,"Dhuusamarreeb"
"in_need","IDP","SO1902",0.528636657232722,0.158437742174505,0.36427408942386,0.0157995350249499,0.0315990700498998,0.631776026819902,0.520736889720247,0,0.156462800296387,0.154487858418268,0.986175406853169,"Cabudwaaq"
"in_need","IDP","SO1903",0.580442309923392,0.144601737404527,0.452123454961121,0.14663709770981,0.33398140152526,0.14663709770981,0.460264896182249,0,0.295309555724901,0,0.600795912976213,"Cadaado"
"in_need","IDP","SO2001",0.754039664208688,0.215439904059625,0.189706730626917,0.081986778597104,0.276929988007453,0.620586538746167,0.313136119007027,0,0.040993389298552,0.10248347324638,0.713046274910136,"Belet Weyne"
"in_need","IDP","SO2101",0.271683810123452,0.000706285913209149,0.181593397357774,0.0879715550260506,0.199074287893826,0.0014125718264183,0.177355681878519,0,0,0.0893841268524689,0.179474539618147,"Jowhar"
"in_need","IDP","SO2201",0.622484815724417,0.0422999285931679,0.377683973852649,0.0357323577309802,0.461910078232585,0.305920549346351,0.283259091165837,0,0.087960399287936,0.0553702990206831,0.538872125639519,"Banadir"
"in_need","IDP","SO2302",0.848910344323741,0.644709281541775,0.145902005887913,0.0141630418948551,0.0928523442433184,0.696050308410624,0.649104359403361,0.0167877395195844,0,0.0432816976113256,0.73933200602195,"Afgooye"
"in_need","IDP","SO2307",0.795454545454546,0.636363636363636,0.772727272727273,0.136363636363636,0.659090909090909,0,0.5,0,0,0.0227272727272727,0.522727272727273,"Wanla Weyn"
"in_need","IDP","SO2401",0.881353954105916,0.159363951125781,0.379263980927134,0.0904679797350798,0.627342076887491,0.458945956490024,0.596737899271426,0,0.118646045894084,0.122825992251648,0.758527961854268,"Baydhaba"
"in_need","IDP","SO2501",0.862745098039216,0.176470588235294,0.333333333333333,0.0980392156862745,0.705882352941176,0.92156862745098,0.607843137254902,0,0.137254901960784,0.0392156862745098,0.980392156862745,"Xudur"
"in_need","IDP","SO2502",0.812861819895201,0.131512758113612,0.912534427231153,0.14598555392164,0.535363507859949,0.444374578008813,0.464636492140051,0,0.403850749746336,0,0.868487241886388,"Ceel Barde"
"in_need","IDP","SO2504",0.666666666666667,0.091929086547008,0.131327266495726,0.0525309065982903,0.763610920307694,0.504058779777777,0.443410313623933,0,0,0,0.789876373606839,"Waajid"
"in_need","IDP","SO2601",0.984269341559582,0.00262177640673626,0.527528652270731,0.250655444101684,0.316199854270091,0.522285099457258,0.950186248272011,0,0.459362465695588,0.227059456441058,0.992134670779791,"Garbahaarey"
"in_need","IDP","SO2602",0,0,0,0,0,1,0,0,0,0,1,"Baardheere"
"in_need","IDP","SO2603",0.925179990592533,0.0628523012289462,0.862327689363586,0.146040973044695,0.212492320043881,0.720471047523032,0.736037801471794,0,0.574430074478338,0,0.830608896032163,"Belet Xaawo"
"in_need","IDP","SO2604",1,0.0117397376397334,0,0,0.0293493440993334,0.0704384258384002,0.953041049441067,0,0.0352192129192001,0,0.976520524720533,"Ceel Waaq"
"in_need","IDP","SO2605",0.684611735157971,0.0152197387934237,0.443913414343104,0.0580614552937821,0.240698320814867,0.359638731282344,0.417700186576126,0,0.203215093528237,0,0.6389525187777,"Doolow"
"in_need","IDP","SO2606",0.9375,0.0625,0.125,0.0625,0.625,0.0625,0.375,0,0.125,0,0.5,"Luuq"
"in_need","IDP","SO2801",0.808357401503551,0.00975709112786115,0.243186697142067,0,0.49061319939937,0.263441460452251,0.298970600902921,0,0,0,0.4550840589487,"Kismaayo"
"in_need","IDP","SO2802",0.954048140043764,0.0196936542669584,0.0328227571115974,0.22363238512035,0.54617067833698,0.750109409190372,0.414442013129103,0,0.0656455142231948,0.00656455142231948,0.809190371991247,"Afmadow"
